txt,sentiment
유치원 사물함 뒤쪽 뭐 넣다 문 탁 닫다 하다 남자 애가 거야 날 윽 게 보더 니 ” 만은 잊다 마 ” 라고 하다 볼 뽀뽀 해주다 가다,나 유치원 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어
중 3 맨날 톡 하다 전화하다 한창 꽁 냥 대다 썸 남다 그러다가 비 온 날 내 우산 없다 친구 랑 비 맞다 집 뛰어오다 얘 랑 톡 하다 비 맞다 얘기 하다 전화 오다 엄청 걱정 하다 말투 비 맞다 안 되다 감기 걸리다 어떡하다 부르다 이르다 거 속 으로는 부르다 오다 이르다 며칠 비 오다 학원 이다 집 이랑 걸다 15분 정도 거리 여서 어떡하다 고민 하고 학원 끝나다 나오다 걔 우산 들다 기다리다 학원 끝나다 어떻다 알다 하다 랑 수업 듣다 애 랑 되게 친하다 걔 한테 끝나다 물어보다 근데 킬 포 는 선생님 그날 수업 오래 하다 얘 30분 씩 기다리다 거 이다 거,나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..
꽈배기 먹다 설탕 입 묻다 그걸 맨손 털다 썸남 설레다 알 고 보다 끼 부리다 사람 … 어장 이다 요,꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 끼부리는 사람… 어장이었지만요ㅠㅠㅠㅠ
"병원 입원 하다 링거 많이 꽂히다 스스로 머리 묶다 수 없다 낑깅거리 고 남자 방사선사 선생님 께서 쭈뼛거리다 다가오다 “ 묶다 드릴 끄다 ” 라고 조심 스럽게 물어보다 , 보다 본인 많이 수줍다 하서면 서 머리카락 어설프다 서툴다 열심히 묶다","병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 낑깅거리고 있었는데 그 때 남자 방사선사 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리카락을 어설프고 서툴지만 열심히 묶어주셨어요"
"남자친구 선보이다 엄청 도와주다 젤리 거 주다 호감 표시 하다 , 어쩌다가 다치다 내 미안하다 밴드 랑 약 사서 발라 주다 나중 오빠 전시회 티켓 주다 가다 썸 인데 막 손잡다 캐리커처 그리다 거 받다 돌아오다 길 놀이터 얘기 하다 고백 받다","남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다."
"자주 가다 단골 카페 젊다 사장 님 프레즐 이나 브레드 서비스 줄 는 단골 한테 엄청 후 하다 하다 , 야적 하다 추하다 몰골 가도 "" 민낯 예쁘다 ” 하다 말 걸다 계속 알아보다 주다 그러다가 사장 님 작다 상자 내미다 가게 이벤트 번호 적다 넣다 당첨 되다 거 예요 안 해도 되다 하다 엄청 당황 하다 “ 하다 되다 거 사실 손님 한테 만 하다 이벤트 에요 100 프로 당첨 인데 멋있다 번호 물어 볼걸 ”","자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”"
밤 늦다 술 말다 집 가야 하다 상황 이다 돈 없다 대요 집 가야 하다 대책 없이 택시 대요 방향 가다 모르다 남자 랑 합승 하다 엄마 먼저 내다 하다 돈 없다 택시 아저씨 한테 돈 가져오다 까지만 기다리다 달라 고 하다 합승 하다 남자 돈 내 대신 내주다 테 니까 전화번호 달라 고 하다 대요,밤 늦게까지 술마시고 집을 가야하는 상황이였는데 돈이 하나도 없었대요. 그래도 일단 집에 가야해서 대책없이 택시를 탔대요. 같은 방향가는 모르는 남자랑 합승해서요. 엄마가 먼저 내려야하는데 돈이 없어서 택시 아저씨한테 돈 가져올 때까지만 기다려달라고 하는데 합승했던 남자가 돈 내가 대신 내줄테니까 전화번호를 달라고 했대요.
또래 보이다 남자 자꾸 눈 마주치다 도서 대출 카드 신청 하다 하다 생년 월일 칸예 010 쓰다 보다 못 하다 휴대전화 내미다 그러자 쭈뼛쭈뼛 연락처 남다 사라지다,제 또래로 보이는 남자가 자꾸 눈을 마주치더니 도서 대출 카드 신청을 하겠다고 하더라구요. 생년월일칸에 010을 쓰더라구요. 제가 보다 못해 휴대전화를 내밀었습니다. 그러자 쭈뼛쭈뼛 연락처를 남기고 사라졌습니다.
"얘 는 재수 학원 알 게 되다 여자애 임 반소 반 이다 여대 출신 이다 솔직하다 처음 엔 내 스타일 아니다 는 여자 한테 먼저 자다 말 못 거 는 스타일 이고 외모 내 스타일 은 아니다 굳이 말 걸 생각 없다 근데 얘 먼저 말 걸다 애가 친화력 상당하다 좋다 거임 급속도 친해지다 반 전체 친하다 지내다 여느 입시 망하다 좋다 재수 종합 반 분위기 되어다 중 얘 랑 베프 처럼 친해지다 집 갈다 가기 하다 걔 고민 내 들어주다 하다 뭔가 친해지다 괜찮다 애 라는 생각 들다 아마 조금씩 친구 좋아하다 되다 어간 거 희다 피부 마르고 보통 키 이다 상당하다 날씬하다 스타 이다 여자애 좋아하다 모델 처럼 다리 일자 곧다 마르고 다리 기다 비율 좋다 몸매 얼굴 은 작다 편이 고 솔직하다 엄청 이쁘다 않다 전체 적 걸그룹 느낌 는 스타일 지금 은 완전 내 스타일 아니다 중 고딩 급식 + 20 대다 극 초반 에는 멋 모르다 () 티브이 나오다 걸그룹 처럼 날씬하다 여자 만 좋아하다 하다 않다 나다 그렇다 듯 지금 은 아니다 여하튼 좋다 좋다 자다 지내다 친구 는 나르다 남자 라기보단 좋다 남사 친자 생각 하다 듯 하다 나다 친구 좋아하다 여자 좋아하다 헷갈리다 , 확실하다 좋아하다 느끼다 건 수능 가깝다 이다 수능 끝나다 종합 반 친구 놀다 다니다 , 술 말다 가면 서 여전하다 베프 처럼 지내다 그러다가 얘 생일 인 1월 고백 하다 “ 아직 은 친구 로서 감정 크다 미안 나다 남자 로서 조금씩 널 생각 은 해보다 ” 라는 거절 오다 는 이대로 친구 잃다 싫다 알다 하다 평소 처럼 친하다 아무렇다 않다 듯 지내다 고백 하다 전 얘 좋아하다 소리 반 친구 한테 하다 들다 알 고 분위기 이다 는 개 쪽 되다 세다 아무 내색 하다 않다 좋다 하다 친구 로서 얼굴 은 자주 보다 힘드다 보내다 그러다가 는 21 살 따로 준비 한 시험 재수 종합 반 친구 덜 만나다 되어다 , 친구 랑 연락 은 하다 자주 는 보지 않다 되어다 여자애 는 여전하다 내 포스트 글 쓰다 친하다 척 하다 날 헷갈리다 하다 는 마음 한편 으로는 사귀다 수도 생각 하다 공부 하다","얘는 재수학원때 알게된 여자애임. 반수반이었는데 ㅇㅇ여대 출신이었다. 솔직히 처음엔 내 스타일 아녔음. 나는 여자한테 먼저 잘 말을 못거는 스타일이고 외모도 내스타일은 아녀서 굳이 말 걸 생각도 없었음. 근데 얘가 먼저 말을 걸어주고 애가 친화력이 상당히 좋은거임. 급속도로 친해지고 반 전체가 친하게 지내는 여느 다같이 입시 망하기 딱 좋은 재수종합반 분위기가 되었다. 그 중에서 얘랑 베프처럼 친해짐. 집에 갈때 같이 가기도 하고 걔 고민 내가 들어주기도 하고 뭔가 친해지니 괜찮은 애라는 생각이 들었음. 아마 조금씩 그 친구를 좋아하게 되어간거 같다 흰 피부에 마르고 보통의 키였는데 상당히 날씬한? 스타일이었음. 여자애들이 좋아하는 모델들 처럼 다리가 일자로 곧게 마르고 다리 길어서 비율 좋은 몸매. 얼굴은 작은편이고 솔직히 엄청 이쁘진 않은데 전체적으로 걸그룹 느낌이 나는 스타일. 지금은 완전 내 스타일이 아니지만 또 중고딩 급식+20대 극초반에는 뭣모르고(?) 티비에 나오는 걸그룹처럼 날씬한 여자만 좋아하곤 하지 않나? 나도 그랬던 듯. 지금은 아니지만. 여튼 좋게좋게 잘 지냈는데 이 친구는 나를 남자라기 보단 좋은 남사친으로 생각하는 듯 했다. 나도 친구로 좋아하는지 여자로 좋아하는지 헷갈렸었지만, 확실히 좋아한다고 느낀건 수능이 가까워서 였고 수능이 끝나고 같은 종합반 친구들과 같이 놀러다니고, 술마시러 같이 가면서 여전히 베프처럼 지냈음. 그러다가 얘 생일인 1월달에 고백을 했는데 “아직은 친구로서 감정이 크다 미안. 하지만 나도 남자로서 조금씩 널 생각은 해볼게” 라는 거절이 왔고 나는 이대로 친구를 잃기는 싫어서 알겠다고 하고 평소처럼 친하게 아무렇지도 않은듯 지냈음. 고백하기 전에 얘를 좋아한다는 소리를 같은 반 친구한테 했고 다들 알고 있는 분위기였는데 나는 개쪽된 셈이었지만 아무 내색을 하지 않고ㅋㅋ 혼자 좋아는 하면서 친구로서 얼굴은 자주보는 힘든 시간을 보냈다. 그러다가 나는 21살에 따로 준비한 시험이 있어서 재수종합반 친구들을 덜 만나게 되었고, 그 친구랑도 연락은 했지만 자주는 보지 않게 되었다. SNS로 그 여자애는 여전히 내 포스트에 글을 쓰고 친한 척을 하면서 날 헷갈리게 하고 나는 마음 한편으로는 언젠가 사귈수도 있겠지? 생각을 하면서 공부를 했음."
"아침 아무 없다 빈 교실 느낌 좋다 중학교 내내 일찍 등교 하다 , 고 1 첫날 빨리 가다 양 아치 삘 는 개도 첫날 이기도 하다 랑 정반대 니까 말 안 걸다 하다 애가 양 아치 인데 성격 좋다 자꾸 말 걸다 개다 아애 잠 안 자고 학교 자다 빨리 오다 애 이다 맨날 하루 30분 씩 얘기 하다 외관 은 랑 전혀 느낌 인데 관심사 겹 치고 좋아지다 … 근데 주 후 내 , 자다 일직 오다 랑 얘기 하다 못 자다 피곤하다 아니다 물어보다 랑 얘기 하다 거 싫다 하다 돌리다 돌리다 피곤하다 보다 그렇다 말 니까 알다 그다음 부터는 일찍 가도 자고 … 무섭다 깨우다 못 하고 옆 빙빙 거리 니까 , 자고 줄 알다 빨리 사과 하다 병신 라고 하다 사과 하고 다시 쭉 아침 마다 애기 함 개다 학교 늘 잠 만 자고 , 양 아치 무섭다 애 이랑 노 니까 평소 에는 알다 척 자다 안 하다 , 꼭 눈 마주치다 손 살짝 들다 알다 척 해주다 게 차다 좋다 … 고 2 반 갈리 고 복도 에서만 간간이 인사 하고 아기 하다 졸업식 사진 찍다 후 로는 연락 안 하다","아침에 아무도 없는 빈 교실 느낌이 좋아서 중학교 내내 일찍등교했는데, 고1 첫날에 빨리가니까 양아치 삘 나는개도 있더라. 첫날이기도 하고 나랑 정반대니까 말 안걸겠지 했는데 애가 양아치인데 성격이 좋아서? 자꾸 말걸더라. 개는 아애 잠 안자고 학교에서 자려고 빨리오는애였는데 맨날 하루 30분씩 애기하니까 외관은 나랑 전혀다른느낌인데 관심사도 겹치고 결국 좋아지더라….근데 몇주후에 내가, 너 자려고 일직온다면서 나랑 애기한다고 못자면 피곤하거 아니냐 라고 물어봤는데 자기랑 애기하는거 싫냐고 하더라. 돌려돌려서 너 피곤할까봐 그렇다는식으로 말하니까 알겠다면서 그 다음부터는 일찍가도 그냥 자고있음…무서워서 깨우지는 못하고 옆에서 빙빙거리니까, 자고있는줄 알았는데 그냥 빨리 사과해라 병신아 라고 하길래 바로 사과하고 다시 쭉 아침마다 애기함 개는 학교에서 늘 잠만자고, 양아치 같은 무서운애들이랑 노니까 평소에는 아는척 잘 안했는데, 꼭 눈마주치면 손 살짝들고 아는척해주던게 참 좋았었는데…고2때 반 갈리고 복도에서만 간간히 인사하고 애기잠깐하다가 졸업식때 사진찍고 그 후로는 연락안했는데"
